id|name|url|additional_info|status|create_date|last_update_date
100|Тестовая электронная площадка|http://test.ru||ACTUAL|04.10.2012 08:32:43|04.10.2012 08:32:43
101|ЗАО «Сбербанк-АСТ» |http://www.sberbank-ast.ru||ACTUAL|04.10.2012 09:41:00|04.10.2012 09:41:00
102|ОАО «Единая электронная торговая площадка»|http://etp.roseltorg.ru||ACTUAL|02.10.2012 11:46:28|02.10.2012 11:46:28
103|ГУП «Агентство по государственному заказу Республики Татарстан|http://etp.zakazrf.ru||ACTUAL|02.10.2012 11:46:54|02.10.2012 11:46:54
104|ЭТП ММВБ|http://etp-micex.ru||ACTUAL|03.10.2012 16:32:14|03.10.2012 16:32:14
105|ОАО «РТС»| http://rts-tender.ru||ACTUAL|03.10.2012 16:28:48|03.10.2012 16:28:48
106|Электронная торговая площадка OTC-tender|http://otc-tender.ru||ACTUAL|02.10.2012 11:54:55|02.10.2012 11:54:55
107|Система электронных торгов B2B-Center|http://b2b-center.ru||ACTUAL|03.10.2012 16:29:00|03.10.2012 16:29:01
108|СЭЗ «Рефери»|http://torgi.donland.ru/223||ACTUAL|02.10.2012 11:55:25|02.10.2012 11:55:25
109|Система электронных торгов SETonline.ru|http://setonline.ru||ACTUAL|02.10.2012 11:57:15|02.10.2012 11:57:15
110|ЭТП Lot-online|http://lot-online.ru/||ACTUAL|02.10.2012 11:57:58|02.10.2012 11:57:58
111|Торговый портал Fabrikant.ru|http://fabrikant.ru||ACTUAL|04.10.2012 08:33:27|04.10.2012 08:33:27
112|Электронная торгово-закупочная площадка ОАО "РЖД"|http://etzp.rzd.ru||ACTUAL|04.10.2012 08:34:49|04.10.2012 08:34:49
113|ОАО «ЕЭТП»|http://com.roseltorg.ru||ACTUAL|02.10.2012 12:01:01|02.10.2012 12:01:01
114|Торговая система ГазНефтеторг.ру|http://gazneftetorg.ru||ACTUAL|04.10.2012 08:33:17|04.10.2012 08:33:17
115|ЭТП ГПБ|http://gazprom.etp.gpb.ru||ACTUAL|02.10.2012 12:02:35|02.10.2012 12:02:35
116|ЗАО «Сбербанк-АСТ» (УТП)|http://utp.sberbank-ast.ru||ACTUAL|03.10.2012 16:27:56|03.10.2012 16:27:56
117|Электронная торговая площадка Уральского Федерального Округа|http://urfotender.ru||ACTUAL|04.10.2012 08:34:29|04.10.2012 08:34:29
118|Электронная торговая площадка Дальневосточного Федерального Округа|http://dfotender.ru||ACTUAL|04.10.2012 08:33:55|04.10.2012 08:33:55
119|Электронная торговая площадка Приволжского Федерального Округа|http://pfotender.ru||ACTUAL|04.10.2012 08:34:06|04.10.2012 08:34:06
120|Электронная торговая площадка Сибирского Федерального Округа|http://sibfotender.ru||ACTUAL|04.10.2012 08:34:19|04.10.2012 08:34:19
121|Электронная торговая площадка Южного Федерального Округа|http://ufotender.ru||ACTUAL|04.10.2012 08:34:39|04.10.2012 08:34:39
122|Торговая Система Спецстройторг|http://www.sstorg.ru/||ACTUAL|02.10.2012 13:53:53|02.10.2012 13:53:53
123|Tender.Pro|http://Tender.Pro||ACTUAL|04.10.2012 08:32:19|04.10.2012 08:32:19
124|223AGZRT|http://223.agzrt.ru||ACTUAL|04.10.2012 08:32:13|04.10.2012 08:32:13
125|ЭТП ГПБ|http://etp.gpb.ru||ACTUAL|04.10.2012 08:33:37|04.10.2012 08:33:37
126|Торговая система Оборонторг|http://oborontorg.ru/||ACTUAL|04.10.2012 08:32:54|04.10.2012 08:32:54
127|Аукционный Конкурсный Дом|http://a-k-d.ru.||ACTUAL|04.10.2012 08:32:26|04.10.2012 08:32:26
128|Электронная торговая площадка РТРС|https://trade.rtrn.ru||ACTUAL|02.10.2012 16:10:12|02.10.2012 16:10:12
140|ЗАО «Сбербанк-АСТ» (Закупки «Сбербанк России» ОАО)|http://zakupki.sbrf.sberbank-ast.ru||ACTUAL|03.10.2012 16:29:38|03.10.2012 16:29:38
141|Электронная торговая площадка Тендер|http://etp-tender.ru||ACTUAL|03.10.2012 16:33:57|03.10.2012 16:33:57
142|ETPRF|http://etprf.ru||ACTUAL|04.10.2012 08:32:04|04.10.2012 08:32:04
143|ОАО "Холдинг МРСК"|http://b2b-mrsk.ru/||ACTUAL|04.10.2012 09:35:56|04.10.2012 09:35:56
144|Электронная торговая площадка "Система электронных торгов"|http://223.zakazrf.ru||ACTUAL|04.10.2012 16:57:22|04.10.2012 16:57:22
145|ЭТП «Торги 223»|http://www.torgi223.ru||ACTUAL|05.10.2012 09:35:37|05.10.2012 09:35:37
146|ЭТП "ТЗС Электра"|http://www.tzselektra.ru||ACTUAL|05.10.2012 11:05:08|05.10.2012 11:05:08
