id|name|url|additional_info|status|create_date|last_update_date
100|Тестовая электронная площадка|http://test.ru||ACTUAL|04.10.2012 08:32:43|04.10.2012 08:32:43
101|ЗАО «Сбербанк-АСТ» (44-ФЗ)|http://www.sberbank-ast.ru||ACTUAL|04.10.2012 09:41:00|27.05.2015 08:52:47
102|АО «Единая электронная торговая площадка»|http://etp.roseltorg.ru||ACTUAL|02.10.2012 11:46:28|07.10.2015 09:57:10
103|ГУП «Агентство по государственному заказу Республики Татарстан|http://etp.zakazrf.ru||ACTUAL|02.10.2012 11:46:54|02.10.2012 11:46:54
104|ЭТП ММВБ|http://etp-micex.ru||ACTUAL|03.10.2012 16:32:14|03.10.2012 16:32:14
105|ОАО «РТС»| http://rts-tender.ru||NONACTUAL|03.10.2012 16:28:48|09.10.2012 11:28:59
106|Электронная торговая площадка OTC-tender|http://otc-tender.ru||ACTUAL|02.10.2012 11:54:55|02.10.2012 11:54:55
107|Система электронных торгов B2B-Center|http://b2b-center.ru||ACTUAL|03.10.2012 16:29:00|03.10.2012 16:29:01
108|СЭЗ «Рефери»|http://torgi.donland.ru/223||ACTUAL|02.10.2012 11:55:25|02.10.2012 11:55:25
109|Система электронных торгов SETonline.ru|http://setonline.ru||ACTUAL|02.10.2012 11:57:15|02.10.2012 11:57:15
110|ЭТП Lot-online|http://lot-online.ru/||ACTUAL|02.10.2012 11:57:58|02.10.2012 11:57:58
111|"Fabrikant.ru – Электронная торговая площадка"|http://fabrikant.ru||ACTUAL|28.11.2012 11:40:48|28.11.2012 11:40:48
112|Электронная торгово-закупочная площадка ОАО "РЖД"|http://etzp.rzd.ru||ACTUAL|04.10.2012 08:34:49|04.10.2012 08:34:49
113|АО «ЕЭТП»|http://com.roseltorg.ru||ACTUAL|02.10.2012 12:01:01|07.10.2015 09:55:57
114|Торговая система Газнефтеторг.ру|http://gazneftetorg.ru||ACTUAL|27.11.2012 09:03:58|27.11.2012 09:03:58
115|ЭТП ГПБ|http://etpgaz.gazprombank.ru||ACTUAL|18.10.2012 10:01:29|18.10.2012 10:01:29
116|ЗАО «Сбербанк-АСТ» (УТП)|http://utp.sberbank-ast.ru||ACTUAL|03.10.2012 16:27:56|03.10.2012 16:27:56
117|Электронная торговая площадка Уральского Федерального Округа|http://urfotender.ru||ACTUAL|04.10.2012 08:34:29|04.10.2012 08:34:29
118|Электронная торговая площадка Дальневосточного Федерального Округа|http://dfotender.ru||ACTUAL|04.10.2012 08:33:55|04.10.2012 08:33:55
119|Электронная торговая площадка Приволжского Федерального Округа|http://pfotender.ru||ACTUAL|04.10.2012 08:34:06|04.10.2012 08:34:06
120|Электронная торговая площадка Сибирского Федерального Округа|http://sibfotender.ru||ACTUAL|04.10.2012 08:34:19|04.10.2012 08:34:19
121|Электронная торговая площадка Южного Федерального Округа|http://ufotender.ru||ACTUAL|04.10.2012 08:34:39|04.10.2012 08:34:39
122|Торговая Система Спецстройторг|http://www.sstorg.ru/||ACTUAL|02.10.2012 13:53:53|02.10.2012 13:53:53
123|Tender.Pro|http://Tender.Pro||ACTUAL|04.10.2012 08:32:19|04.10.2012 08:32:19
124|223AGZRT|http://223.agzrt.ru||ACTUAL|04.10.2012 08:32:13|04.10.2012 08:32:13
125|ЭТП ГПБ|http://etp.gpb.ru||ACTUAL|04.10.2012 08:33:37|04.10.2012 08:33:37
126|Торговая система Оборонторг|http://oborontorg.ru/||ACTUAL|04.10.2012 08:32:54|04.10.2012 08:32:54
127|Аукционный Конкурсный Дом|http://a-k-d.ru.||ACTUAL|04.10.2012 08:32:26|04.10.2012 08:32:26
128|Электронная торговая площадка РТРС|https://trade.rtrn.ru||ACTUAL|02.10.2012 16:10:12|02.10.2012 16:10:12
140|ЗАО «Сбербанк-АСТ» (Закупки «Сбербанк России» ОАО)|http://zakupki.sbrf.sberbank-ast.ru||ACTUAL|03.10.2012 16:29:38|03.10.2012 16:29:38
141|Электронная торговая площадка Тендер|www.etp-tender.ru||ACTUAL|03.10.2012 16:33:57|05.02.2015 14:55:53
142|ETPRF|http://etprf.ru||ACTUAL|04.10.2012 08:32:04|04.10.2012 08:32:04
143|ОАО "Холдинг МРСК"|http://b2b-mrsk.ru/||ACTUAL|04.10.2012 09:35:56|04.10.2012 09:35:56
144|Электронная торговая площадка "Система электронных торгов"|http://223.zakazrf.ru||ACTUAL|04.10.2012 16:57:22|04.10.2012 16:57:22
145|ЭТП «Торги 223»|http://www.torgi223.ru||ACTUAL|05.10.2012 09:35:37|05.10.2012 09:35:37
146|ЭТП "ТЗС Электра"|http://www.tzselektra.ru||ACTUAL|05.10.2012 11:05:08|05.10.2012 11:05:08
147|Электронный капитал|www.eksystems.ru||ACTUAL|08.10.2012 10:36:59|08.10.2012 10:36:59
148|ГУП «Таттехмедфарм»|https://www.etpttmf.ru||ACTUAL|08.10.2012 16:40:41|08.10.2012 16:40:41
162|"RB2B - Электронная торговая площадка"|http://rb2b.ru||ACTUAL|09.10.2012 10:52:57|09.10.2012 10:52:57
163|Инвестэнергосервис|http://ieservice.ru||ACTUAL|09.10.2012 11:32:31|09.10.2012 11:32:31
164|223etp.zakazrf.ru|http://223etp.zakazrf.ru||ACTUAL|10.10.2012 11:35:28|10.10.2012 11:35:28
182|ОАО «ЕЭТП»|https://fsk.roseltorg.ru||ACTUAL|15.10.2012 13:25:58|07.10.2015 09:56:10
183|Госаукцион|http://www.gosauction.ru||ACTUAL|16.10.2012 08:50:45|16.10.2012 08:50:45
184|Электронные аукционы Сибири|http://ea.omskzakaz.ru/||ACTUAL|16.10.2012 14:28:30|16.10.2012 14:28:30
185|ЗАО «Биржа «Санкт-Петербург»|https://securweb.spbex.ru/transauction/CommonContent.mvc/index||ACTUAL|19.10.2012 12:15:54|19.10.2012 12:15:54
186|ООО «БашЗаказ»|www.bashzakaz.ru||ACTUAL|18.10.2012 14:29:56|18.10.2012 14:29:56
187|ONLINECONTRACT|www.onlinecontract.ru||ACTUAL|22.10.2012 09:15:25|22.10.2012 09:15:25
188|Система НЭСКО|www.zao-nesko.ru||ACTUAL|23.10.2012 10:20:22|23.10.2012 10:20:22
189|Закупки.ру|http://www.zakupki.ru||ACTUAL|24.10.2012 10:14:04|24.10.2012 10:14:04
202|Электронная торговая площадка ОАО "Аэрофлот"|https://trade.aeroflot.ru||ACTUAL|01.11.2012 14:06:51|01.11.2012 14:06:51
203|АО «ЕЭТП»|https://rt.roseltorg.ru||ACTUAL|08.11.2012 09:06:42|07.10.2015 09:56:26
204|Электронная торговая площадка КФУ|http://www.etp.kpfu.ru||ACTUAL|08.11.2012 14:26:31|08.11.2012 14:26:31
223|zakupki21.ru|http://www.zakupki21.ru||ACTUAL|20.11.2012 09:24:25|20.11.2012 09:24:25
